Date Snapshot,Rolling Sharpe Ratio
2022-12-01,0.9667696359232734
2022-12-02,1.2408507421133563
2022-12-05,1.1765233673846858
2022-12-06,0.9261679867747853
2022-12-07,0.8140464526851182
2022-12-08,0.7778451784221452
2022-12-09,0.619434790538798
2022-12-12,0.663823922263393
2022-12-13,0.5063408133881603
2022-12-14,0.3910528048651996
2022-12-15,0.6834319069374063
2022-12-16,0.6536162571386553
2022-12-19,0.4808775162644827
2022-12-20,0.5438341992225303
2022-12-21,0.5868129516368301
2022-12-22,0.7156553195978134
2022-12-23,0.8552799474425703
2022-12-26,0.760248257986082
2022-12-27,0.8733248061171727
2022-12-28,0.7036958109889222
2022-12-29,0.524515442698706
2022-12-30,0.7591155835254683
2023-01-02,0.6326384124869582
2023-01-03,0.811415951163426
2023-01-04,0.5564400229448832
2023-01-05,1.0334487506816437
2023-01-06,0.8837388877044552
2023-01-09,0.8723080069518576
2023-01-10,0.6478732397143552
2023-01-11,1.0192146489009957
2023-01-12,0.9237007585901372
2023-01-13,1.3152538141633257
2023-01-16,1.3583458655299487
2023-01-17,1.675034509596593
2023-01-18,1.7168727170467168
2023-01-19,1.5253733378009302
2023-01-20,1.490921538027614
2023-01-23,1.4812167755889603
2023-01-24,1.696190061726413
2023-01-25,2.0421573725644966
2023-01-26,1.9966136570074784
2023-01-27,2.0119838946077078
2023-01-30,2.024339009135109
2023-01-31,2.249898226412985
2023-02-01,2.3750121500695363
2023-02-02,2.3921243220880735
2023-02-03,2.443690009020301
2023-02-06,2.4167352354845226
2023-02-07,2.3657074812031387
2023-02-08,2.1363112563392677
2023-02-09,2.207640360791793
2023-02-10,2.533027646512824
2023-02-13,2.6708218305492952
2023-02-14,2.8265637444981033
2023-02-15,2.8351205183300077
2023-02-16,2.420101722130295
2023-02-17,2.424528345114163
2023-02-20,2.1807721498657986
2023-02-21,2.180610609713287
2023-02-22,2.232242929554134
2023-02-23,1.9085990971312672
2023-02-24,1.9440035577312553
2023-02-27,2.183362029274962
2023-02-28,2.049901253549329
2023-03-01,2.074769821494485
2023-03-02,1.844309144197099
2023-03-03,2.0217348799201087
2023-03-06,1.7613013741779835
2023-03-07,1.6831429164350633
2023-03-08,1.6109912476001085
2023-03-09,1.578576532209088
2023-03-10,1.3129871495667844
2023-03-13,1.1937792714219468
2023-03-14,1.3620428186710927
2023-03-15,1.325136377480316
2023-03-16,1.1113287855262004
2023-03-17,1.3790312760399177
2023-03-20,1.1728750989206378
2023-03-21,1.0620456727792174
2023-03-22,0.8639405649245082
2023-03-23,0.7894842769849206
2023-03-24,0.9376622507070508
2023-03-27,0.985455371939967
2023-03-28,0.9487038368036645
2023-03-29,0.5467116267371239
2023-03-30,0.9943213038132136
2023-03-31,0.7853148171754044
2023-04-03,0.40759790907473387
2023-04-04,0.32300629294095223
2023-04-05,0.16087221219862932
2023-04-06,-0.010686070411853031
2023-04-07,-0.21565344419458965
2023-04-10,0.006440113245375835
2023-04-11,0.07358840726002461
2023-04-12,0.13080386001059083
2023-04-13,0.3216146158429964
2023-04-14,0.5410513678406335
2023-04-17,0.6258452809214524
2023-04-18,0.5562826464885403
2023-04-19,0.5199733680426384
2023-04-20,0.44101292477342174
2023-04-21,0.3549796086829523
2023-04-24,0.7628792822529237
2023-04-25,0.8327522785397805
2023-04-26,0.6830286334401237
2023-04-27,0.7867123963632813
2023-04-28,0.887096476520464
2023-05-01,0.9184940846215438
2023-05-02,0.8946100519865597
2023-05-03,1.1525545045632595
2023-05-04,0.9785851235554244
2023-05-05,0.82514387501163
2023-05-08,0.7854041383750421
2023-05-09,0.8574630066462562
2023-05-10,0.7958386846763383
2023-05-11,0.898188349003347
2023-05-12,0.7623483265159545
2023-05-15,0.8311669440346235
2023-05-16,0.7702263219968405
2023-05-17,0.8708398779718225
2023-05-18,0.7099224891092267
2023-05-19,0.9017459837977294
2023-05-22,0.8467623703169685
2023-05-23,0.8610081030226034
2023-05-24,1.0425674156657037
2023-05-25,1.0635367788242862
2023-05-26,0.8253706849066541
2023-05-29,0.7365292534239055
2023-05-30,0.6416025672945298
2023-05-31,0.7114346332262502
2023-06-01,0.7071755091806339
2023-06-02,0.8161876145845877
2023-06-05,1.0005513087215343
2023-06-06,0.7964035178768994
2023-06-07,0.6802135070957527
2023-06-08,0.7007866139064245
2023-06-09,0.577474813121436
2023-06-12,0.5646975319811371
2023-06-13,0.7412060543129677
2023-06-14,0.7089799634875246
2023-06-15,0.8332629190484936
2023-06-16,0.8015205883288334
2023-06-19,0.8878701387327043
2023-06-20,0.8799785240006974
